WEEK;DATE;ORDER_ID;PROD_NBR;CUST_NBR;t1;t2;QUANTITY;DRIVER_NBR;TRUCK_NBR
40;2020-10-02;924543;3020P;101523;277,3666666666667;277,3666666666667;30,0;4;4
40;2020-10-02;924567;3220R;101386;87,26833333333335;87,26833333333335;6,0;1;1
40;2020-10-02;924633;2514RPBR;104284;87,26833333333335;87,26833333333335;7,5;1;1
40;2020-10-02;924633;3214RPBR;104284;87,26833333333335;87,26833333333335;7,5;1;1
40;2020-10-02;924640;3020P;104815;38,38999999999999;38,38999999999999;10,0;1;1
40;2020-10-02;924830;REM3A-M;104686;177,8083333333333;177,8083333333333;35,0;5;5
40;2020-10-02;924901;MTQ4;104875;132,76500000000001;132,76500000000001;21,0;3;3
40;2020-10-02;924947;6014RP;104970;133,925;133,925;17,0;3;3
40;2020-10-02;925015;2520P;104524;712,07;712,07;122,0;14;14
40;2020-10-02;925063;REM2B-M;104686;279,2583333333334;279,2583333333334;35,0;5;5
40;2020-10-02;925077;2520P;070149;118,615;118,615;3,0;1;1
40;2020-10-02;925080;2510RP2;100510;124,34166666666667;124,34166666666667;3,5;1;1
40;2020-10-02;925123;REM3SECANT;104706;179,2866666666667;179,2866666666667;26,0;4;4
40;2020-10-02;925124;REM3SECANT;104706;126,35;126,35;19,5;3;3
40;2020-10-02;925125;REM3SECANT;104706;294,81666666666666;294,81666666666666;44,0;7;7
40;2020-10-02;925404;3520RBOR;104327;175,10999999999999;175,10999999999999;18,0;3;3
40;2020-10-02;925726;REM2B-M;104686;6,540000000000001;6,540000000000001;11,0;3;3
40;2020-10-02;925734;3020R;100844;26,975;26,975;4,5;1;1
40;2020-10-02;925819;3520RPC1;070149;298,1983333333333;323,9316666666667;104,0;13;13
40;2020-10-02;925819;6510RP;070149;501,27;501,27;96,0;14;14
40;2020-10-02;925848;2520P;101989;339,4216666666667;306,8;64,0;8;8
40;2020-10-02;925857;3514RPC1;104741;146,87;146,87;15,0;3;3
40;2020-10-02;925955;2520RP;103650;248,68333333333334;248,68333333333334;14,0;2;2
40;2020-10-02;925957;2020P;103861;55,655;55,655;11,5;1;1
40;2020-10-02;926070;3020RP;102750;173,375;173,375;41,5;5;5
40;2020-10-02;926248;2020P;104752;150,47;150,47;16,0;2;2
40;2020-10-02;926276;3010P;103594;34,044999999999995;34,044999999999995;7,0;1;1
40;2020-10-02;926311;2520P;002518;184,86666666666667;184,86666666666667;15,5;2;2
40;2020-10-02;926330;3520RVM;002884;51,57333333333333;51,57333333333333;10,0;2;2
40;2020-10-02;926351;2514RPBR;104905;85,47666666666667;85,47666666666667;8,0;1;1
40;2020-10-02;926359;3220RVM;103062;49,32;49,32;30,0;4;4
40;2020-10-02;926359;3520RPC1;103062;12,33;12,33;6,0;1;1
40;2020-10-02;926363;2010RPSC;102740;85,47666666666667;85,47666666666667;5,0;1;1
40;2020-10-02;926365;3520RPC1CV;104683;425,19166666666666;425,19166666666666;56,0;7;7
40;2020-10-02;926366;0120RB;104124;44,858333333333334;44,858333333333334;7,0;1;1
40;2020-10-02;926367;2510P2;104683;57,5;57,5;7,5;1;1
40;2020-10-02;926403;2020R;023020;137,95833333333334;137,95833333333334;1,5;1;1
40;2020-10-02;926413;3220R;101247;52,975;52,975;2,0;1;1
40;2020-10-02;926431;REM4D-M;104706;126,35;126,35;13,0;3;3
40;2020-10-02;926470;2520RP;100878;162,60000000000002;162,60000000000002;23,5;3;3
40;2020-10-02;926470;3520RPC1;100878;18,926666666666666;18,926666666666666;6,0;1;1
40;2020-10-02;926516;2010R;000785;33,39833333333333;33,39833333333333;5,0;1;1
40;2020-10-02;926529;2520RP;COD;867,845;859,76;64,0;8;8
40;2020-10-02;926580;2520P;104222;37,50666666666667;37,50666666666667;3,0;1;1
40;2020-10-02;926694;3220R;103762;34,29;34,29;4,0;1;1
40;2020-10-03;922106;REM2B-M;104686;244,01666666666668;244,01666666666668;10,0;2;2
40;2020-10-03;922126;REM2B-M;104686;342,74499999999995;342,74499999999995;17,0;3;3
40;2020-10-03;923001;REM3A-M;104686;32,07333333333334;32,07333333333334;118,0;17;17
40;2020-10-03;923803;4005PMOR;003483;11,915000000000001;11,915000000000001;1,0;1;1
40;2020-10-03;923803;4514PD;003483;309,79;309,79;194,0;26;26
40;2020-10-03;923803;4514RPD;003483;47,660000000000004;47,660000000000004;19,0;4;4
40;2020-10-03;923803;6514P;003483;11,915000000000001;11,915000000000001;3,0;1;1
40;2020-10-03;923920;REM6A;104686;35,839999999999996;35,839999999999996;38,0;6;6
40;2020-10-03;924840;REM2B-M;104686;395,055;395,055;15,0;3;3
40;2020-10-03;925995;REM2B-M;104686;114,24833333333332;114,24833333333332;6,5;1;1
40;2020-10-03;926073;REM2B-M;104686;118,615;118,615;6,0;1;1
40;2020-10-03;926074;REM2C-M1;104686;118,615;118,615;3,0;1;1
40;2020-10-03;926083;REM2B-M;104686;228,49666666666664;228,49666666666664;9,5;2;2
40;2020-10-03;926183;3505PMOR;104683;72,62833333333333;72,62833333333333;1,0;1;1
40;2020-10-03;926183;3520RPC1CV;104683;1743,08;1743,08;210,5;24;24
41;2020-10-05;917234;3510RPC1;104590;12,705000000000002;12,705000000000002;22,0;3;3
41;2020-10-05;920229;3220RVM;103762;128,48333333333335;128,48333333333335;40,0;5;5
41;2020-10-05;920230;3220RVM;103762;154,20833333333331;154,20833333333331;36,5;5;5
41;2020-10-05;921407;3520RPC1;104493;147,8;147,8;30,0;4;4
41;2020-10-05;922129;3520RPC1;104778;613,525;613,525;324,0;33;33
41;2020-10-05;922496;3020P;102625;1235,25;1235,25;238,0;30;30
41;2020-10-05;922496;4020P;102625;41,175;41,175;6,0;1;1
41;2020-10-05;922657;3010RPRJ;101789;462,1666666666667;462,1666666666667;27,0;5;5
41;2020-10-05;922701;3014RP;104484;35,28333333333333;35,28333333333333;17,0;5;5
41;2020-10-05;922701;3020T5C;104484;183,47333333333333;183,47333333333333;204,0;26;26
41;2020-10-05;922918;2505PMOR;070735;20,256666666666668;20,256666666666668;1,0;1;1
41;2020-10-05;922918;2520P;070735;729,24;729,24;312,0;36;36
41;2020-10-05;922928;3020P;104815;345,50999999999993;345,50999999999993;68,0;9;9
41;2020-10-05;922928;3514RP;104815;76,77999999999999;76,77999999999999;12,0;2;2
41;2020-10-05;923003;3014RP;039710;637,0699999999999;637,0699999999999;40,0;6;6
