;date;driver;distance;driverLoc
2478;2020-11-06;15446.0;235.30;2490
2479;2020-11-06;15451.0;88.32;2491
2480;2020-11-06;15457.0;245.19;2492
2481;2020-11-06;15460.0;307.94;2491
2482;2020-11-06;15467.0;38.12;2494
2483;2020-11-06;15476.0;179.34;2493
2484;2020-11-06;15479.0;148.61;2493
2485;2020-11-06;15486.0;119.15;2490
2486;2020-11-06;15488.0;169.16;2490
2487;2020-11-06;15507.0;72.05;2494
2488;2020-11-06;15515.0;85.57;2489
2489;2020-11-06;15516.0;223.87;2491
2490;2020-11-06;15521.0;42.12;2489
2491;2020-11-06;15526.0;172.81;2495
2492;2020-11-06;15535.0;225.24;2495
2493;2020-11-06;15539.0;284.83;2492
2494;2020-11-06;15547.0;371.97;2492
2495;2020-11-06;15553.0;316.61;2492
2496;2020-11-06;15559.0;85.52;2489
2497;2020-11-06;15560.0;220.24;2496
2498;2020-11-06;15562.0;154.53;2492
2499;2020-11-06;15566.0;158.15;2495
2500;2020-11-06;15568.0;162.06;2495
2501;2020-11-06;15578.0;372.31;2492
2502;2020-11-06;15580.0;91.11;2489
2503;2020-11-06;15582.0;120.31;2495
2504;2020-11-06;15588.0;138.50;2495
2505;2020-11-06;15589.0;56.50;2494
2506;2020-11-06;15605.0;82.36;2495
2507;2020-11-06;15606.0;136.89;2495
2508;2020-11-06;15607.0;124.92;2489
2509;2020-11-06;15611.0;59.49;2491
2510;2020-11-06;15615.0;86.65;2493
2511;2020-11-06;7000008.0;162.39;2495
2512;2020-11-06;7000011.0;212.50;2493
2513;2020-11-06;7000013.0;149.70;2496
2514;2020-11-06;7000018.0;119.09;2493
2515;2020-11-06;7000026.0;129.73;2490
2516;2020-11-06;7000029.0;118.87;2490
2517;2020-11-06;7000031.0;120.02;2491
2518;2020-11-06;7000032.0;557.83;2492
2519;2020-11-06;7000038.0;178.01;2493
2520;2020-11-06;7000042.0;242.55;2491
2521;2020-11-06;7000045.0;122.81;2493
2522;2020-11-06;7000052.0;69.91;2491
2523;2020-11-06;7000053.0;75.85;2489
2524;2020-11-06;7000054.0;154.31;2496
2525;2020-11-06;7000056.0;139.69;2495
2526;2020-11-06;7000062.0;34.04;2494
2527;2020-11-06;7000063.0;71.18;2491
2528;2020-11-06;7000065.0;163.46;2490
2529;2020-11-06;7000066.0;161.69;2490
2530;2020-11-06;7000067.0;79.90;2496
2531;2020-11-06;7000069.0;215.13;2491
2532;2020-11-07;14347.0;98.39;2493
2533;2020-11-07;15107.0;63.80;2491
2534;2020-11-07;15213.0;60.74;2489
2535;2020-11-07;15243.0;60.50;2491
2536;2020-11-07;15305.0;91.11;2489
