Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime
2023-8-1;1:40:1;cq;20201130;2327.5;0;14637.4;13008.8;20.8363;0;118;0;18593;6;725293
2023-8-1;1:40:27;cq;20201022;3428.5;0;24264.3;22924.4;48.6556;0;150;180;33358.9;8;1400224
2023-8-1;1:40:36;cq;20201009;3229;0;18120.2;16538.5;19.845;0;133;0;24059.1;8;1194004
2023-8-1;1:40:43;cq;20201103;4042.5;0;23668.2;22167.8;211.465;0;146;0;32914.3;8;983846
2023-8-1;1:40:54;cq;20201107;333.5;0;753.263;471.468;0;0;18;0;382.779;2;994651
2023-8-1;1:41:6;cq;20201019;3009.5;0;18802.8;17373.8;0;0;135;360;20283.6;8;1764148
2023-8-1;1:41:22;cq;20201112;3684.5;0;21675.7;19973.5;10.6098;0;143;0;28921.7;8;1404950
2023-8-1;1:41:45;cq;20201125;2425;0;18445.1;16950.3;103.303;0;140;0;25000.2;7;826784
2023-8-1;1:41:52;cq;20201006;3749.5;0;24183.4;22664;23.6517;0;141;0;37783.9;8;1271279
2023-8-1;1:42:31;cq;20201120;3401.5;0;22822.1;20567.3;4.45;0;143;180;30199.6;8;1848055
2023-8-1;1:43:17;cq;20201117;3288.5;0;22023.6;20369.5;690.816;0;142;0;28601.5;7;1014706
2023-8-1;1:43:33;cq;20201021;1164.5;0;5407.95;4864.68;0;0;73;540;9783.43;6;1247715
2023-8-1;1:44:27;cq;20201028;3089.5;0;22489.9;20988.6;532.411;0;148;180;22035.7;7;2458806
2023-8-1;1:45:5;cq;20201113;3670.5;0;23062.8;21542.8;61.2831;0;145;0;25871.7;8;2285177
2023-8-1;1:45:9;cq;20201001;3078;0;18997.2;17892.9;185.407;0;136;0;25803.7;7;1466984
2023-8-1;1:45:31;cq;20201118;3541;0;21311.3;19708.4;323.528;0;141;0;26017.9;8;1130842
2023-8-1;1:47:58;cq;20201128;776;0;2287.09;1669.61;0;0;31;0;1825.11;3;1202053
2023-8-1;1:48:14;cq;20201119;3447.5;0;22422.2;20657.8;268.877;0;144;0;34993.4;8;1252232
2023-8-1;1:49:7;cq;20201111;3437.5;0;23184.2;21466.2;83.2648;0;144;0;29536.1;8;1874580
2023-8-1;1:50:1;cq;20201014;3471;0;22150.1;20896.2;122.612;0;142;0;28900.3;8;2191085
2023-8-1;1:50:44;cq;20201106;3350.5;0;20887.2;19399.4;18.2339;0;143;0;23060.9;8;2339620
2023-8-1;1:58:7;cq;20201022;3428.5;0;24879.6;23680.9;64.4307;0;151;0;37929.7;8;2785450
2023-8-1;1:59:46;cq;20201126;2971;0;21510;19961.8;244.476;0;135;0;22660.9;7;2393800
