Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVA;LOCAL_SEARCH;TIME_LIMIT
2023-8-12;1:56:37;cq;20201120;3391.5;10;23399.6;21291.6;1137.69;59.685;0;140;861.124;3125.99;8;1807455;120;20;25;60;1;1800000
2023-8-12;1:56:42;cq;20201116;2939.5;0;21971.5;20281.5;654.764;53.7;0;137;1591.44;3061.05;7;1849827;120;20;25;60;1;1800000
2023-8-12;1:56:45;cq;20201126;2971;;22996.7;21631.3;1054.09;56.961;;133;409.03;2094.81;7;1817767;120;20;25;60;1;1800000
2023-8-12;1:56:48;cq;20201102;3078.5;0;23470.9;22505.5;171.658;34.4367;0;132;498.782;4783.71;8;1821347;120;20;25;60;1;1800000
2023-8-12;1:57:8;cq;20201106;3336;14.5;21649.9;20255.8;1449.29;59.5501;;141;1298.72;2059.43;8;1841368;120;20;25;60;1;1800000
2023-8-12;1:57:19;cq;20201009;3229;0;21315.7;19880.7;232.833;49.4731;;129;393.199;4201.84;8;1851840;120;20;25;60;1;1800000
2023-8-12;1:57:20;cq;20201030;3513;0;21134.6;19359.6;657.566;54.7233;0;149;2018.28;3179.38;8;1850629;120;20;25;60;1;1800000
2023-8-12;1:57:23;cq;20201110;3476;23.5;21935.3;20030.3;1100.42;54.8917;0;141;838.987;3669.44;8;1853108;120;20;25;60;1;1800000
2023-8-12;1:57:24;cq;20201118;3541;;23726.6;22215.3;969.709;59.3725;0;139;329.181;2897.7;8;1854245;120;20;25;60;1;1800000
2023-8-12;1:57:26;cq;20201111;3437.5;0;24933.4;23239.8;354.446;29.4267;0;143;1219.09;4108.43;8;1856300;120;20;25;60;1;1800000
2023-8-12;1:58:16;cq;20201014;3471;;21209.1;20000.4;439.729;52.5117;0;137;796.05;3517.27;8;1906342;120;20;25;60;1;1800000
2023-8-12;2:0:47;cq;20201104;3953.5;0;25713.5;24260.3;1093.74;59.285;0;148;731.919;3776.33;8;1850912;120;20;25;60;1;1800000
2023-8-12;2:0:56;cq;20201006;3739.5;0;25195.9;23898.2;798.61;59.2633;0;137;1018.54;5400.52;8;1858639;120;20;25;60;1;1800000
2023-8-12;2:1:1;cq;20201029;3946.5;0;25987.7;24146.2;421.131;57.1049;0;150;618.912;5370.2;8;1865574;120;20;25;60;1;1800000
2023-8-12;2:1:2;cq;20201113;3670.5;0;24580.3;23202;808.403;59.5967;0;143;672.477;3807.83;8;1865824;120;20;25;60;1;1800000
2023-8-12;2:2:5;cq;20201112;3684.5;0;23425.4;22007;243.773;58.9083;0;142;706.462;3911.52;8;1927800;120;20;25;60;1;1800000
2023-8-12;2:30:16;cq;20201114;388;0;1697.88;1373.31;;0;3;17;674.59;240.727;2;3620842;120;20;25;60;1;3600000
2023-8-12;2:30:18;cq;20201003;613.5;0;3871.13;3841.08;12;12;0;29;95.8967;631.153;3;3619234;120;20;25;60;1;3600000
2023-8-12;2:30:20;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;131.472;0;2;3624773;120;20;25;60;1;3600000
2023-8-12;2:30:24;cq;20201031;375;0;1015.38;703.456;0;0;0;15;144.256;173.353;2;3627955;120;20;25;60;1;3600000
2023-8-12;2:30:26;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;0;0;1;3630200;120;20;25;60;1;3600000
2023-8-12;2:30:28;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;3632084;120;20;25;60;1;3600000
2023-8-12;2:30:31;cq;20201128;776;0;2278.19;1668.83;0;0;0;30;578.101;630.987;3;3614104;120;20;25;60;1;3600000
2023-8-12;2:31:23;cq;20201021;1160.5;0;5839.88;5306.29;3.13722;3.13722;0;71;3394.28;199.335;6;3618775;120;20;25;60;1;3600000
2023-8-12;2:31:42;cq;20201013;1565;0;9132.1;8584.66;20;15;15;94;4087.5;628.981;8;3605510;120;20;25;60;1;3600000
2023-8-12;2:31:42;cq;20201024;937.5;0;4083.95;3680.71;;0;33;31;720;941.153;3;3685575;120;20;25;60;1;3600000
2023-8-12;2:32:4;cq;20201125;2425;0;18374.4;17025.9;238.619;37.975;0;135;2665.76;1670.43;7;3604929;120;20;25;60;1;3600000
2023-8-12;2:32:5;cq;20201109;1746.5;0;14520.9;13561.7;20.1583;11.1467;9;92;1836.77;1753.17;7;3617409;120;20;25;60;1;3600000
2023-8-12;2:32:7;cq;20201002;2893.5;0;18594.7;17307.4;122.928;33.446;0;128;1612.13;2318.52;8;3604862;120;20;25;60;1;3600000
2023-8-12;2:32:7;cq;20201026;1839.5;0;14114.5;13426.2;49.3487;40.2854;4;116;2054.44;1039;8;3616439;120;20;25;60;1;3600000
2023-8-12;2:32:10;cq;20201016;2060;0;12866.3;12168.8;56.8345;18.0412;0;107;3389.58;1187.84;8;3614512;120;20;25;60;1;3600000
2023-8-12;2:32:11;cq;20201130;2327.5;0;15535;13998.3;85.1152;37.2236;0;117;1354.72;1811.99;6;3616700;120;20;25;60;1;3600000
2023-8-12;2:32:14;cq;20201123;2595;0;20557.2;19139.8;383.587;53.8217;0;127;1123.54;1972.57;7;3613553;120;20;25;60;1;3600000
2023-8-12;2:32:21;cq;20201007;2512.5;0;15810.7;14754.1;9.61889;3;19;127;1534.35;2244.99;8;3618532;120;20;25;60;1;3600000
2023-8-12;2:32:22;cq;20201120;3401.5;0;24233.1;22376.6;972.702;56.565;0;140;426.502;3263.74;8;3603331;120;20;25;60;1;3600000
2023-8-12;2:32:29;cq;20201102;3078.5;0;25020;24168.7;165.03;27.2367;0;132;257.869;3404.75;8;3620358;120;20;25;60;1;3600000
2023-8-12;2:32:31;cq;20201126;2962;9;21442.5;20098.1;1165.4;53.2917;0;133;1468.76;1813.71;7;3625256;120;20;25;60;1;3600000
2023-8-12;2:32:33;cq;20201020;2673;0;17017.3;16290.1;214.756;59.6017;0;130;3530.47;1781.55;8;3632699;120;20;25;60;1;3600000
2023-8-12;2:32:34;cq;20201116;2939.5;0;22064.8;20350.8;703.672;53.7;0;137;739.942;3397.78;7;3631242;120;20;25;60;1;3600000
2023-8-12;2:32:35;cq;20201014;3471;;21111.6;19872.3;302.595;56.99;0;136;739.897;2935.73;8;3612322;120;20;25;60;1;3600000
